epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,402.017,0.87805,5.14891,1.41125,0,0,0,0,0.5877,5.70642,1.21259,2.07123e-05,2.07123e-05,2.07123e-05
2,856.22,0.51832,4.89515,1.14553,0.00625,0.0625,0.01555,0.01555,0.49336,5.45678,1.10181,4.08864e-05,4.08864e-05,4.08864e-05
3,1294.08,0.48927,4.70851,1.10776,0.0268,0.375,0.05557,0.04906,0.50213,5.16915,1.079,6.02289e-05,6.02289e-05,6.02289e-05
